BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE,TICKER
TQBR,2021-06-02,0.22126,961310000,211794193.4,FEES
TQBR,2021-06-03,0.22238,889530000,197695130.0,FEES
TQBR,2021-06-04,0.22144,875670000,193364327.6,FEES
TQBR,2021-06-07,0.22394,868030000,193778744.2,FEES
TQBR,2021-06-08,0.2236,716520000,159990526.0,FEES
TQBR,2021-06-09,0.22338,509200000,113585402.2,FEES
TQBR,2021-06-10,0.22248,837400000,186547049.6,FEES
TQBR,2021-06-11,0.2228,807290000,179034165.0,FEES
TQBR,2021-06-14,0.22462,727110000,163033294.8,FEES
TQBR,2021-06-15,0.22244,1032260000,231200510.2,FEES
TQBR,2021-06-16,0.2224,868570000,193893669.6,FEES
TQBR,2021-06-17,0.2217,859540000,191044601.0,FEES
TQBR,2021-06-18,0.22256,1515690000,335409135.8,FEES
TQBR,2021-06-21,0.22268,692270000,153974437.6,FEES
TQBR,2021-06-22,0.22248,408450000,90588934.0,FEES
TQBR,2021-06-23,0.22146,519580000,115469595.0,FEES
